"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Pół Żartem, Pół Serio",8.2,7.72,"Comedy",7.61137175417394,8.13,96958,235175,"Billy Wilder","Marilyn Monroe","Tony Curtis","Jack Lemmon","George Raft",0.772,0.82
"Tam, Gdzie Rosną Poziomki",8.2,7.42,"Drama",7.12313531995069,8.45,29298,91109,"Ingmar Bergman","Victor Sjöström","Bibi Andersson","Ingrid Thulin","Gunnar Björnstrand",0.742,0.82
"Siódma Pieczęć",8.2,7.49,"Drama",7.25829099611489,8.45,48794,156355,"Ingmar Bergman","Max von Sydow","Gunnar Björnstrand","Bengt Ekerot","Nils Poppe",0.749,0.82
"M Jak Morderstwo",8.2,7.2,"Crime",7.08097614299539,8.48,17275,150833,"Alfred Hitchcock","Ray Milland","Grace Kelly","Robert Cummings","John Williams",0.72,0.82
"Rashomon",8.2,7.3,"Crime",7.37308802777069,8.37,21720,145672,"Akira Kurosawa","Toshirô Mifune","Machiko Kyô","Masayuki Mori","Takashi Shimura",0.73,0.82
"Wszystko O Ewie",8.2,7.06,"Drama",7.25795417728542,8.1,11282,116093,"Joseph L. Mankiewicz","Bette Davis","Anne Baxter","George Sanders","Celeste Holm",0.706,0.82
"Skarb Sierra Madre",8.2,6.66,"Adventure",7.47121526916398,7.01,5732,109894,"John Huston","Humphrey Bogart","Walter Huston","Tim Holt","Bruce Bennett",0.666,0.82
"Gorączka Złota",8.2,6.94,"Adventure",7.95784777612546,7.96,10989,95754,"Charles Chaplin","Charles Chaplin","Mack Swain","Tom Murray","Henry Bergman",0.694,0.82
"Młody Sherlock Holmes",8.2,6.23,"Action",7.19565217391304,7.2,1483,38444,"Buster Keaton","Buster Keaton","Kathryn McGuire","Joe Keaton","Erwin Connelly",0.623,0.82
"Służąca",8.1,8.02,"Drama",7.1100936204595,8.36,267053,412850,"Chan-wook Park","Min-hee Kim","Jung-woo Ha","Jin-woong Cho","So-Ri Moon",0.802,0.81
"Mama",8.1,7.5,"Drama",7.6264372169563,8.03,37740,47680,"Xavier Dolan","Anne Dorval","Antoine Olivier Pilon","Suzanne Clément","Patrick Huard",0.75,0.81
"Logan: Wolverine",8.1,7.5,"Action",7.92212492591265,7.68,155720,617684,"James Mangold","Hugh Jackman","Patrick Stewart","Dafne Keen","Boyd Holbrook",0.75,0.81
"Pokój",8.1,7.8,"Drama",7.29333035306215,8.18,181653,350077,"Lenny Abrahamson","Brie Larson","Jacob Tremblay","Sean Bridgers","Wendy Crewson",0.78,0.81
"Dzikie Historie",8.1,7.48,"Comedy",6.82726126693981,8.06,119803,166841,"Damián Szifron","Darío Grandinetti","María Marull","Mónica Villa","Diego Starosta",0.748,0.81
"Grand Budapest Hotel",8.1,7.73,"Adventure",7.81134643913246,8.65,245041,678722,"Wes Anderson","Ralph Fiennes","F. Murray Abraham","Mathieu Amalric","Adrien Brody",0.773,0.81
"Zaginiona Dziewczyna",8.1,7.74,"Drama",7.56112412813469,8.68,293583,821192,"David Fincher","Ben Affleck","Rosamund Pike","Neil Patrick Harris","Tyler Perry",0.774,0.81
"Przełęcz Ocalonych",8.1,8.1,"War",7.60597903712292,8.1,210295,409946,"Mel Gibson","Andrew Garfield","Sam Worthington","Luke Bracey","Teresa Palmer",0.81,0.81
"W Głowie Się Nie Mieści",8.1,7.62,"Animation",7.18894738154922,8.17,206774,583821,"Pete Docter","Amy Poehler","Bill Hader","Lewis Black","Mindy Kaling",0.762,0.81
"Zniewolony",8.1,7.4,"Biography",7.78148091768322,8.09,25719,616501,"Steve McQueen","Chiwetel Ejiofor","Michael Kenneth Williams","Michael Fassbender","Brad Pitt",0.74,0.81
"Wyścig",8.1,7.69,"Biography",7.63814519396676,7.64,151453,417619,"Ron Howard","Daniel Brühl","Chris Hemsworth","Olivia Wilde","Alexandra Maria Lara",0.769,0.81
"Le Mans '66",8.1,7.55,"Action",7.51112333719022,7.68,44537,221063,"James Mangold","Matt Damon","Christian Bale","Jon Bernthal","Caitriona Balfe",0.755,0.81
"Sekrety Morza",8.1,7.63,"Animation",7.32136990024541,8.42,34317,48373,"Tomm Moore","David Rawle","Brendan Gleeson","Lisa Hannigan","Fionnula Flanagan",0.763,0.81
"Służące",8.1,8.02,"Drama",7.66089812126696,7.05,267053,412850,"Tate Taylor","Emma Stone","Viola Davis","Octavia Spencer","Bryce Dallas Howard",0.802,0.81
"Labirynt",8.1,7.78,"Thriller",8.06266365390325,8.39,238380,571692,"Denis Villeneuve","Hugh Jackman","Jake Gyllenhaal","Viola Davis","Melissa Leo",0.778,0.81
"Mad Max: Na Drodze Gniewu",8.1,7.14,"Action",7.91022184795022,8.07,196778,843666,"George Miller","Tom Hardy","Charlize Theron","Nicholas Hoult","Zoë Kravitz",0.714,0.81
"Gran Torino",8.1,8.15,"Drama",7.44271757242641,8.59,411538,700932,"Clint Eastwood","Clint Eastwood","Bee Vang","Christopher Carley","Ahney Her",0.815,0.81
"Harry Potter I Insygnia Śmierci: Część Ii",8.1,7.45,"Adventure",7.65521053690909,7.07,302392,456757,"David Yates","Daniel Radcliffe","Emma Watson","Rupert Grint","Michael Gambon",0.745,0.81
"Wyspa Tajemnic",8.1,8.16,"Thriller",7.91265226468915,8.59,554127,1081093,"Martin Scorsese","Leonardo DiCaprio","Emily Mortimer","Mark Ruffalo","Ben Kingsley",0.816,0.81
"Mój Przyjaciel Hachiko",8.1,7.89,"Drama",7.32069819129427,7.86,172996,242134,"Lasse Hallström","Richard Gere","Joan Allen","Cary-Hiroyuki Tagawa","Sarah Roemer",0.789,0.81
"Mary I Max",8.1,7.59,"Animation",7.63059308020483,8,51025,159309,"Adam Elliot","Toni Collette","Philip Seymour Hoffman","Eric Bana","Barry Humphries",0.759,0.81
"Jak Wytresować Smoka",8.1,7.3,"Animation",7.21871710006806,7.96,42851,644859,"Dean DeBlois","Jay Baruchel","Gerard Butler","Christopher Mintz-Plasse","Craig Ferguson",0.73,0.81
"Elitarni",8.1,7.13,"Action",8.73497913769124,7.3,23948,95722,"José Padilha","Wagner Moura","André Ramiro","Caio Junqueira","Milhem Cortaz",0.713,0.81
"Wszystko Za Życie",8.1,7.83,"Adventure",7.39825664676358,8,248058,553075,"Sean Penn","Emile Hirsch","Vince Vaughn","Catherine Keener","Marcia Gay Harden",0.783,0.81
"To Nie Jest Kraj Dla Starych Ludzi",8.1,7.53,"Thriller",8.02612165173052,7.78,212609,818708,"Ethan Coen","Tommy Lee Jones","Javier Bardem","Josh Brolin","Woody Harrelson",0.753,0.81
"Za Wszelką Cenę",8.1,7.74,"Drama",7.8822072495945,8.59,268306,616575,"Clint Eastwood","Hilary Swank","Clint Eastwood","Morgan Freeman","Jay Baruchel",0.774,0.81
"Kill Bill",8.1,7.36,"Action",7.33798925418877,8.88,358727,966531,"Quentin Tarantino","Uma Thurman","David Carradine","Daryl Hannah","Michael Madsen",0.736,0.81
"Gdzie Jest Nemo?",8.1,7.14,"Animation",7.47092156539052,7.82,188101,918907,"Andrew Stanton","Albert Brooks","Ellen DeGeneres","Alexander Gould","Willem Dafoe",0.714,0.81
"Złap Mnie, Jeśli Potrafisz",8.1,7.84,"Biography",8.27567868615441,8.11,308017,786191,"Steven Spielberg","Leonardo DiCaprio","Tom Hanks","Christopher Walken","Martin Sheen",0.784,0.81
"Szósty Zmysł",8.1,7.77,"Thriller",7.63510596521714,7.05,615894,886012,"M. Night Shyamalan","Bruce Willis","Haley Joel Osment","Toni Collette","Olivia Williams",0.777,0.81
"1900: Człowiek Legenda",8.1,7.46,"Drama",7.13679476387852,8.42,27205,56621,"Giuseppe Tornatore","Tim Roth","Pruitt Taylor Vince","Mélanie Thierry","Bill Nunn",0.746,0.81
"Truman Show",8.1,7.37,"Comedy",7.60072447520236,8.18,486780,896072,"Peter Weir","Jim Carrey","Ed Harris","Laura Linney","Noah Emmerich",0.737,0.81
"Czarny Kot, Biały Kot",8.1,7.54,"Comedy",6.93927635509586,8.19,58243,49404,"Emir Kusturica","Bajram Severdzan","Srdjan 'Zika' Todorovic","Branka Katic","Florijan Ajdini",0.754,0.81
"Big Lebowski",8.1,7.4,"Comedy",7.80677059426303,8.05,136107,702874,"Joel Coen","Jeff Bridges","John Goodman","Julianne Moore","Steve Buscemi",0.74,0.81
"Spragnieni Miłości",8.1,7.24,"Drama",7.21479276982291,8.19,18663,116706,"Kar-Wai Wong","Tony Chiu-Wai Leung","Maggie Cheung","Ping Lam Siu","Tung Cho 'Joe' Cheung",0.724,0.81
"Trainspotting",8.1,7.72,"Drama",7.59152427772334,7.86,221780,618082,"Danny Boyle","Ewan McGregor","Ewen Bremner","Jonny Lee Miller","Kevin McKidd",0.772,0.81
"Fargo",8.1,7.45,"Crime",7.70679019854052,8.05,99678,594272,"Joel Coen","William H. Macy","Frances McDormand","Steve Buscemi","Peter Stormare",0.745,0.81
"Underground",8.1,7.5,"Comedy",6.94657403463404,8.19,37174,53651,"Emir Kusturica","Predrag 'Miki' Manojlovic","Lazar Ristovski","Mirjana Jokovic","Slavko Stimac",0.75,0.81
"Nienawiść",8.1,7.42,"Crime",7.16366484371354,7.04,37781,141538,"Mathieu Kassovitz","Vincent Cassel","Hubert Koundé","Saïd Taghmaoui","Abdel Ahmed Ghili",0.742,0.81
"Przed Wschodem Słońca",8.1,7.15,"Drama",7.53505610547416,7.96,32350,224806,"Richard Linklater","Ethan Hawke","Julie Delpy","Andrea Eckert","Hanno Pöschl",0.715,0.81
"Trzy Kolory: Czerwony",8.1,7.53,"Drama",7.23452374562435,8.39,41426,86051,"Krzysztof Kieslowski","Irène Jacob","Jean-Louis Trintignant","Frédérique Feder","Jean-Pierre Lorit",0.753,0.81
"Chungking Express",8.1,6.93,"Comedy",7.22727709096897,8.19,10624,58630,"Kar-Wai Wong","Brigitte Lin","Takeshi Kaneshiro","Tony Chiu-Wai Leung","Faye Wong",0.693,0.81
"Park Jurajski",8.1,6.97,"Sci-Fi",7.53747745232245,8.11,320117,832548,"Steven Spielberg","Sam Neill","Laura Dern","Jeff Goldblum","Richard Attenborough",0.697,0.81
"W Imię Ojca",8.1,7.62,"Biography",7.81577618556662,7.83,43282,150515,"Jim Sheridan","Daniel Day-Lewis","Pete Postlethwaite","Alison Crosbie","Philip King",0.762,0.81
"Zawieście Czerwone Latarnie",8.1,7.07,"Drama",7.62203917261578,7.75,14553,28176,"Yimou Zhang","Li Gong","Jingwu Ma","Saifei He","Cuifen Cao",0.707,0.81
"Stowarzyszenie Umarłych Poetów",8.1,7.74,"Comedy",7.88395490004038,8.18,297795,404460,"Peter Weir","Robin Williams","Robert Sean Leonard","Ethan Hawke","Josh Charles",0.774,0.81
"Narzeczona Dla Księcia",8.1,6.59,"Adventure",7.30995612434464,7.13,9558,380309,"Rob Reiner","Cary Elwes","Mandy Patinkin","Robin Wright","Chris Sarandon",0.659,0.81
"Stań Przy Mnie",8.1,7.2,"Adventure",7.06983316591618,7.13,24314,351185,"Rob Reiner","Wil Wheaton","River Phoenix","Corey Feldman","Jerry O'Connell",0.72,0.81
"Pluton",8.1,7.94,"War",7.46766418263871,7.84,123955,369732,"Oliver Stone","Charlie Sheen","Tom Berenger","Willem Dafoe","Keith David",0.794,0.81
"Paryż, Teksas",8.1,6.71,"Drama",7.0661665583311,7.73,7988,83984,"Wim Wenders","Harry Dean Stanton","Nastassja Kinski","Dean Stockwell","Aurore Clément",0.671,0.81
"Coś",8.1,7.36,"Horror",7.12193536937356,7.94,94964,355052,"John Carpenter","Kurt Russell","Wilford Brimley","Keith David","Richard Masur",0.736,0.81
"Fitzcarraldo",8.1,6.82,"Adventure",7.443779633708,8.09,7624,29821,"Werner Herzog","Klaus Kinski","Claudia Cardinale","José Lewgoy","Miguel Ángel Fuentes",0.682,0.81
"Łowca Androidów",8.1,7.62,"Sci-Fi",7.651276770528,7.93,193077,670095,"Ridley Scott","Harrison Ford","Rutger Hauer","Sean Young","Edward James Olmos",0.762,0.81
"Człowiek Słoń",8.1,7.57,"Biography",7.73264675371022,8.57,47039,211731,"David Lynch","Anthony Hopkins","John Hurt","Anne Bancroft","John Gielgud",0.757,0.81
"Żywot Briana",8.1,7.8,"Comedy",7.83934612600827,7.66,173249,355215,"Terry Jones","Graham Chapman","John Cleese","Michael Palin","Terry Gilliam",0.78,0.81
"Łowca Jeleni",8.1,7.94,"Drama",7.8092802096215,8.12,121979,300880,"Michael Cimino","Robert De Niro","Christopher Walken","John Cazale","John Savage",0.794,0.81
"Rocky",8.1,7.61,"Drama",7.62074825322428,7.39,186964,500814,"John G. Avildsen","Sylvester Stallone","Talia Shire","Burt Young","Carl Weathers",0.761,0.81
"Sieć",8.1,6.72,"Drama",7.58655346292656,8.23,9249,139953,"Sidney Lumet","Faye Dunaway","William Holden","Peter Finch","Robert Duvall",0.672,0.81
"Barry Lyndon",8.1,7.18,"Adventure",6.87637702789754,8.84,16286,142889,"Stanley Kubrick","Ryan O'Neal","Marisa Berenson","Patrick Magee","Hardy Krüger",0.718,0.81
"Papierowy Księżyc",8.1,6.45,"Comedy",6.99879042526101,6.72,3319,40670,"Peter Bogdanovich","Ryan O'Neal","Tatum O'Neal","Madeline Kahn","John Hillerman",0.645,0.81
"Szepty I Krzyki",8.1,6.96,"Drama",7.13083943078418,8.45,11479,28511,"Ingmar Bergman","Harriet Andersson","Liv Ullmann","Kari Sylwan","Ingrid Thulin",0.696,0.81
"Samuraj",8.1,6.5,"Crime",7.62998324958124,8.34,4207,43031,"Jean-Pierre Melville","Alain Delon","François Périer","Nathalie Delon","Cathy Rosier",0.65,0.81
"Nieugięty Luke",8.1,6.91,"Crime",7.45849580586715,7.82,11568,156530,"Stuart Rosenberg","Paul Newman","George Kennedy","Strother Martin","J.D. Cannon",0.691,0.81
"Persona",8.1,7.53,"Drama",7.28230932072988,8.45,26722,96577,"Ingmar Bergman","Bibi Andersson","Liv Ullmann","Margaretha Krook","Gunnar Björnstrand",0.753,0.81
"Co Się Zdarzyło Baby Jane?",8.1,7.03,"Drama",7.37723128218962,7.73,10621,48148,"Robert Aldrich","Bette Davis","Joan Crawford","Victor Buono","Wesley Addy",0.703,0.81
"Sanjuro - Samuraj Znikąd",8.1,6.53,"Action",7.70878074390727,8.37,4143,30667,"Akira Kurosawa","Toshirô Mifune","Tatsuya Nakadai","Keiju Kobayashi","Yûnosuke Itô",0.653,0.81
"Człowiek, Który Zabił Liberty Valance'a",8.1,6.32,"Drama",7.61634965452182,7.65,2523,66386,"John Ford","James Stewart","John Wayne","Vera Miles","Lee Marvin",0.632,0.81
"Źródło",8.1,6.59,"Drama",7.46219292698351,8.45,5289,25447,"Ingmar Bergman","Max von Sydow","Birgitta Valberg","Gunnel Lindblom","Birgitta Pettersson",0.659,0.81
"Kto Sieje Wiatr",8.1,6.67,"Biography",7.88928337978685,8.08,4658,26261,"Stanley Kramer","Spencer Tracy","Fredric March","Gene Kelly","Dick York",0.667,0.81
"Ben Hur",8.1,7.29,"Adventure",7.15386053406388,8.19,31575,212589,"William Wyler","Charlton Heston","Jack Hawkins","Stephen Boyd","Haya Harareet",0.729,0.81
"Ukryta Forteca",8.1,6.54,"Adventure",7.4259439937981,8.37,3933,32414,"Akira Kurosawa","Toshirô Mifune","Misa Uehara","Minoru Chiaki","Kamatari Fujiwara",0.654,0.81
"Noce Cabirii",8.1,6.69,"Drama",7.27275458095524,8.36,5682,41208,"Federico Fellini","Giulietta Masina","François Périer","Franca Marzi","Dorian Gray",0.669,0.81
"Tron We Krwi",8.1,7.25,"Drama",7.37309471923438,8.37,19355,43593,"Akira Kurosawa","Toshirô Mifune","Minoru Chiaki","Isuzu Yamada","Takashi Shimura",0.725,0.81
"Most Na Rzece Kwai",8.1,7.2,"War",7.36899879124265,8.33,30273,196411,"David Lean","William Holden","Alec Guinness","Jack Hawkins","Sessue Hayakawa",0.72,0.81
"Na Nabrzeżach",8.1,6.89,"Crime",7.67586429234893,8.27,10998,136603,"Elia Kazan","Marlon Brando","Karl Malden","Lee J. Cobb","Rod Steiger",0.689,0.81
"Cena Strachu",8.1,6.79,"Adventure",7.10742092457421,8.04,6476,51994,"Henri-Georges Clouzot","Yves Montand","Charles Vanel","Peter van Eyck","Folco Lulli",0.679,0.81
"As W Potrzasku",8.1,6.2,"Drama",7.80609278926775,8.13,1266,29801,"Billy Wilder","Kirk Douglas","Jan Sterling","Robert Arthur","Porter Hall",0.62,0.81
"Biały Żar",8.1,6.41,"Action",7.17930723061553,7.62,2556,28494,"Raoul Walsh","James Cagney","Virginia Mayo","Edmond O'Brien","Margaret Wycherly",0.641,0.81
"Trzeci Człowiek",8.1,6.75,"Crime",7.12314441055218,7.72,7196,153482,"Carol Reed","Orson Welles","Joseph Cotten","Alida Valli","Trevor Howard",0.675,0.81
"Rebeka",8.1,6.83,"Drama",7.21210180906153,8.48,9634,117665,"Alfred Hitchcock","Laurence Olivier","Joan Fontaine","George Sanders","Judith Anderson",0.683,0.81
"Pan Smith Jedzie Do Waszyngtonu",8.1,6.41,"Comedy",7.42162353003528,8.33,3177,103233,"Frank Capra","James Stewart","Jean Arthur","Claude Rains","Edward Arnold",0.641,0.81
"Przeminęło Z Wiatrem",8.1,7.73,"Drama",7.76212883387253,8.3,101929,279059,"Victor Fleming","Clark Gable","Vivien Leigh","Thomas Mitchell","Barbara O'Neil",0.773,0.81
"Towarzysze Broni",8.1,6.22,"War",7.09547721237264,7.42,2198,32831,"Jean Renoir","Jean Gabin","Dita Parlo","Pierre Fresnay","Erich von Stroheim",0.622,0.81
"Ich Noce",8.1,6.87,"Comedy",7.45446960902466,8.33,8405,90031,"Frank Capra","Clark Gable","Claudette Colbert","Walter Connolly","Roscoe Karns",0.687,0.81
"Gabinet Doktora Caligari",8.1,7.25,"Horror",7.02008639308855,7.85,19169,54659,"Robert Wiene","Werner Krauss","Conrad Veidt","Friedrich Feher","Lil Dagover",0.725,0.81
"Złodziejaszki",8,6.78,"Crime",6.91280720517077,7.78,10728,53335,"Hirokazu Koreeda","Lily Franky","Sakura Andô","Kirin Kiki","Mayu Matsuoka",0.678,0.8
"Historia Małżeńska",8,7.26,"Comedy",7.52530714818586,7.73,91202,215376,"Noah Baumbach","Adam Driver","Scarlett Johansson","Julia Greer","Azhy Robertson",0.726,0.8
"La La Land",8,7.23,"Comedy",7.73331378045859,8.38,171555,479423,"Damien Chazelle","Ryan Gosling","Emma Stone","Rosemarie DeWitt","J.K. Simmons",0.723,0.8
"Lion. Droga Do Domu",8,7.48,"Biography",7.82270539105812,6.99,67462,202854,"Garth Davis","Dev Patel","Nicole Kidman","Rooney Mara","Sunny Pawar",0.748,0.8
"Marsjanin",8,7.54,"Adventure",7.48196881273623,7.93,265320,731627,"Ridley Scott","Matt Damon","Jessica Chastain","Kristen Wiig","Kate Mara",0.754,0.8
"Zwierzogród",8,7.82,"Animation",7.2306405964458,8.04,240339,415148,"Byron Howard","Ginnifer Goodwin","Jason Bateman","Idris Elba","Jenny Slate",0.782,0.8
"Księżniczka Kaguya",8,6.69,"Animation",7.46557956124188,8.29,6286,34831,"Isao Takahata","Chloë Grace Moretz","James Caan","Mary Steenburgen","James Marsden",0.669,0.8
"Cudowny Chłopak",8,7.64,"Drama",7.70575703717478,7.17,105195,130209,"Stephen Chbosky","Jacob Tremblay","Owen Wilson","Izabela Vidovic","Julia Roberts",0.764,0.8
"Gra Tajemnic",8,7.32,"Biography",7.7586636035008,7.67,167955,659340,"Morten Tyldum","Benedict Cumberbatch","Keira Knightley","Matthew Goode","Allen Leech",0.732,0.8
"Strażnicy Galaktyki",8,7.44,"Action",7.97110181297099,7,228089,1014335,"James Gunn","Chris Pratt","Vin Diesel","Bradley Cooper","Zoe Saldana",0.744,0.8
"X-Men: Przeszłość, Która Nadejdzie",8,7.32,"Action",8.33062457145231,7.4,160195,645711,"Bryan Singer","Patrick Stewart","Ian McKellen","Hugh Jackman","James McAvoy",0.732,0.8
"Blade Runner 2049",8,7.4,"Sci-Fi",7.91615652348711,8.39,144709,431944,"Denis Villeneuve","Harrison Ford","Ryan Gosling","Ana de Armas","Dave Bautista",0.74,0.8
"Ona",8,7.31,"Drama",8.07163182030961,8.02,151863,515037,"Spike Jonze","Joaquin Phoenix","Amy Adams","Scarlett Johansson","Rooney Mara",0.731,0.8
"Bohemian Rhapsody",8,7.89,"Biography",7.98527454665325,7.4,179969,425376,"Bryan Singer","Rami Malek","Lucy Boynton","Gwilym Lee","Ben Hardy",0.789,0.8
"Charlie",8,7.49,"Drama",7.79329939534579,7.17,138515,446166,"Stephen Chbosky","Logan Lerman","Emma Watson","Ezra Miller","Paul Rudd",0.749,0.8
"Elitarni - Ostatnie Starcie",8,6.83,"Action",8.73497913769124,7.3,14662,77642,"José Padilha","Wagner Moura","Irandhir Santos","André Ramiro","Milhem Cortaz",0.683,0.8
"Jak Zostać Królem",8,7.74,"Biography",8.10717353893028,7.83,314967,622922,"Tom Hooper","Colin Firth","Geoffrey Rush","Helena Bonham Carter","Derek Jacobi",0.774,0.8
"Co Wiesz O Elly?",8,6.57,"Drama",7.02667214314853,7.91,6821,42639,"Asghar Farhadi","Golshifteh Farahani","Shahab Hosseini","Taraneh Alidoosti","Merila Zare'i",0.657,0.8
"Ip Man",8,7.66,"Action",7.20822280803208,7.5,69770,205840,"Wilson Yip","Donnie Yen","Simon Yam","Siu-Wong Fan","Ka Tung Lam",0.766,0.8
"Nazywam Sie Khan",8,7.31,"Drama",7.68507026904632,8.35,33363,95520,"Karan Johar","Shah Rukh Khan","Kajol","Sheetal Menon","Katie A. Keane",0.731,0.8
"Slumdog, Milioner Z Ulicy",8,7.38,"Drama",7.19754430352754,7.86,584552,780651,"Danny Boyle","Dev Patel","Freida Pinto","Saurabh Shukla","Anil Kapoor",0.738,0.8
"Czarny Łabędź",8,7.65,"Drama",7.87699070443297,8.14,346166,680314,"Darren Aronofsky","Natalie Portman","Mila Kunis","Vincent Cassel","Winona Ryder",0.765,0.8
"Avengers",8,7.45,"Action",8.19994674794314,6.9,308153,1233172,"Joss Whedon","Robert Downey Jr.","Chris Evans","Scarlett Johansson","Jeremy Renner",0.745,0.8
"Witaj W Klubie",8,7.7,"Biography",7.68271874534333,8.15,174091,425198,"Jean-Marc Vallée","Matthew McConaughey","Jennifer Garner","Jared Leto","Steve Zahn",0.77,0.8
"W Pogoni Za Szczęściem",8,8.02,"Biography",7.29352204206896,7.3,257412,431462,"Gabriele Muccino","Will Smith","Thandie Newton","Jaden Smith","Brian Howe",0.802,0.8
"Krwawy Diament",8,7.44,"Adventure",7.99596501978201,7.79,253912,484976,"Edward Zwick","Leonardo DiCaprio","Djimon Hounsou","Jennifer Connelly","Kagiso Kuypers",0.744,0.8
"Ultimatum Bourne'a",8,7.61,"Action",7.48012881898197,7.85,172690,594367,"Paul Greengrass","Matt Damon","Edgar Ramírez","Joan Allen","Julia Stiles",0.761,0.8
"Sin City: Miasto Grzechu",8,7.35,"Crime",7.62024278130616,7.63,261505,730423,"Frank Miller","Mickey Rourke","Clive Owen","Bruce Willis","Jessica Alba",0.735,0.8
"Motyl I Skafander",8,7.38,"Biography",7.08996904967258,7.52,61252,101334,"Julian Schnabel","Mathieu Amalric","Emmanuelle Seigner","Marie-Josée Croze","Anne Consigny",0.738,0.8
"Ratatuj",8,7.25,"Animation",7.072072217602,7.99,266460,617856,"Brad Bird","Brad Garrett","Lou Romano","Patton Oswalt","Ian Holm",0.725,0.8
"Przed Zachodem Słońca",8,7.15,"Drama",7.27118956395,7.96,32350,224806,"Richard Linklater","Ethan Hawke","Julie Delpy","Vernon Dobtcheff","Louise Lemoine Torrès",0.715,0.8
"Casino Royale",8,7.44,"Action",7.81931007126522,7.67,259965,565326,"Martin Campbell","Daniel Craig","Eva Green","Judi Dench","Jeffrey Wright",0.744,0.8
"Kill Bill 2",8,7.34,"Action",7.33798925418877,8.88,220925,660833,"Quentin Tarantino","Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah",0.734,0.8
"W Stronę Morza",8,7.19,"Biography",7.36602936026078,7.66,23264,75703,"Alejandro Amenábar","Javier Bardem","Belén Rueda","Lola Dueñas","Mabel Rivera",0.719,0.8
"Człowiek Ringu",8,7.51,"Biography",7.54966770545516,7.64,80781,172270,"Ron Howard","Russell Crowe","Renée Zellweger","Craig Bierko","Paul Giamatti",0.751,0.8
"Piraci Z Karaibów: Klątwa Czarnej Perły",8,7.68,"Adventure",8.23812502995738,8.09,711757,995117,"Gore Verbinski","Johnny Depp","Geoffrey Rush","Orlando Bloom","Keira Knightley",0.768,0.8
"Duża Ryba",8,7.54,"Adventure",7.72145425247937,8.3,95580,404907,"Tim Burton","Ewan McGregor","Albert Finney","Billy Crudup","Jessica Lange",0.754,0.8
"Iniemamocni",8,6.84,"Animation",7.45402451054368,7.99,135357,636951,"Brad Bird","Craig T. Nelson","Samuel L. Jackson","Holly Hunter","Jason Lee",0.684,0.8
"Dogville",8,7.45,"Crime",7.49470378421506,7.76,57078,133531,"Lars von Trier","Nicole Kidman","Paul Bettany","Lauren Bacall","Harriet Andersson",0.745,0.8
"Telemania",8,6.32,"Comedy",6.86013864818024,6.86,40870,31769,"Yilmaz Erdogan","Yilmaz Erdogan","Demet Akbag","Altan Erkekli","Cem Yilmaz",0.632,0.8
"Donnie Darko",8,7.62,"Drama",7.4671425294891,7.66,200388,723024,"Richard Kelly","Jake Gyllenhaal","Jena Malone","Mary McDonnell","Holmes Osborne",0.762,0.8
"Potwory I Spółka",8,7.43,"Animation",7.55388921948944,8.17,200229,786937,"Pete Docter","Billy Crystal","John Goodman","Mary Gibbs","Steve Buscemi",0.743,0.8
"Magnolia",8,7.19,"Drama",7.74962358656192,8.3,38551,282034,"Paul Thomas Anderson","Tom Cruise","Jason Robards","Julianne Moore","Philip Seymour Hoffman",0.719,0.8
"Tańcząc W Ciemnościach",8,7.61,"Crime",7.49504710744493,7.76,55737,99015,"Lars von Trier","Björk","Catherine Deneuve","David Morse","Peter Stormare",0.761,0.8
"Mulholland Drive",8,7.43,"Drama",7.41372319060554,8.57,83111,308174,"David Lynch","Naomi Watts","Laura Harring","Justin Theroux","Jeanne Bates",0.743,0.8
"Prosta Historia",8,7.39,"Biography",7.53676578269574,8.57,45093,78924,"David Lynch","Richard Farnsworth","Sissy Spacek","Jane Galloway Heitz","Joseph A. Carpenter",0.739,0.8
"Festen",8,6.94,"Drama",7.05284997613018,7.81,12302,75864,"Thomas Vinterberg","Ulrich Thomsen","Henning Moritzen","Thomas Bo Larsen","Paprika Steen",0.694,0.8
"Stalowy Gigant",8,7.22,"Animation",7.65792524343842,7.99,25737,166368,"Brad Bird","Eli Marienthal","Harry Connick Jr.","Jennifer Aniston","Vin Diesel",0.722,0.8
"Blizny Przeszłości",8,6.42,"Drama",7.03711390437619,7.65,3589,85136,"Billy Bob Thornton","Billy Bob Thornton","Dwight Yoakam","J.T. Walsh","John Ritter",0.642,0.8
"Sekrety I Kłamstwa",8,6.78,"Comedy",7.20017954196797,7.89,8560,35712,"Mike Leigh","Timothy Spall","Brenda Blethyn","Phyllis Logan","Claire Rushbrook",0.678,0.8
"12 Małp",8,7.53,"Thriller",8.02601823891548,8.15,209235,563635,"Terry Gilliam","Bruce Willis","Madeleine Stowe","Brad Pitt","Joseph Melito",0.753,0.8
"Miasteczko Halloween",8,7.49,"Animation",6.97371670139272,7.96,72006,282821,"Henry Selick","Danny Elfman","Chris Sarandon","Catherine O'Hara","William Hickey",0.749,0.8
"Dzień Świstaka",8,7.12,"Comedy",7.20091432711873,7.01,133199,564629,"Harold Ramis","Bill Murray","Andie MacDowell","Chris Elliott","Stephen Tobolowsky",0.712,0.8
