"titles","imdb_rate","filmweb_rate","genre","mean_act_rate","dir.rate","filmweb_votes","imdb_votes","directors","star1","star2","star3","star4","filmweb_rate_01","imdb_rate_01"
"Avengers: Wojna Bez Granic",8.5,8.08,"Action",8.29142365824709,8.23,174469,778760,"Anthony Russo","Robert Downey Jr.","Chris Hemsworth","Mark Ruffalo","Chris Evans",0.808,0.85
"Whiplash",8.5,8.03,"Drama",7.53149305387439,8.38,275685,678833,"Damien Chazelle","Miles Teller","J.K. Simmons","Melissa Benoist","Paul Reiser",0.803,0.85
"Nietykalni",8.5,8.66,"Biography",7.7565341978987,7.95,642381,269731,"Olivier Nakache","François Cluzet","Omar Sy","Anne Le Ny","Audrey Fleurot",0.866,0.85
"Prestiż",8.5,8.05,"Thriller",7.82464749970024,8.68,374539,1138875,"Christopher Nolan","Christian Bale","Hugh Jackman","Scarlett Johansson","Michael Caine",0.805,0.85
"Infiltracja",8.5,7.94,"Crime",8.30078728825601,8.59,328045,1145827,"Martin Scorsese","Leonardo DiCaprio","Matt Damon","Jack Nicholson","Mark Wahlberg",0.794,0.85
"Pianista",8.5,8.26,"Biography",7.36109077938471,8.3,578160,697874,"Roman Polanski","Adrien Brody","Thomas Kretschmann","Frank Finlay","Emilia Fox",0.826,0.85
"Gladiator",8.5,8.07,"Drama",7.99104866300845,7.93,740230,1292490,"Ridley Scott","Russell Crowe","Joaquin Phoenix","Connie Nielsen","Oliver Reed",0.807,0.85
"Więzień Nienawiści",8.5,8.13,"Drama",7.53574372735284,8.15,294638,1004055,"Tony Kaye","Edward Norton","Edward Furlong","Beverly D'Angelo","Jennifer Lien",0.813,0.85
"Podejrzani",8.5,6.29,"Crime",7.50995303018134,7.4,3536,958105,"Bryan Singer","Kevin Spacey","Gabriel Byrne","Chazz Palminteri","Stephen Baldwin",0.629,0.85
"Léon Zawodowiec",8.5,8.07,"Action",8.03797117697897,7.2,812222,995025,"Luc Besson","Jean Reno","Gary Oldman","Natalie Portman","Danny Aiello",0.807,0.85
"Król Lew",8.5,8.16,"Animation",7.51496231931357,7.9,552743,906213,"Roger Allers","Matthew Broderick","Jeremy Irons","James Earl Jones","Whoopi Goldberg",0.816,0.85
"Terminator 2: Dzień Sądu",8.5,7.54,"Action",7.61760045831781,8.47,251333,965050,"James Cameron","Arnold Schwarzenegger","Linda Hamilton","Edward Furlong","Robert Patrick",0.754,0.85
"Cinema Paradiso",8.5,7.83,"Drama",7.2021420518602,8.42,68925,218731,"Giuseppe Tornatore","Philippe Noiret","Enzo Cannavale","Antonella Attili","Isa Danieli",0.783,0.85
"Powrót Do Przyszłości",8.5,7.42,"Adventure",7.56690735538143,8.21,171758,1007460,"Robert Zemeckis","Michael J. Fox","Christopher Lloyd","Lea Thompson","Crispin Glover",0.742,0.85
"Pewnego Razu Na Dzikim Zachodzie",8.5,7.63,"Western",7.67283975880828,8.7,44347,290683,"Sergio Leone","Henry Fonda","Charles Bronson","Claudia Cardinale","Jason Robards",0.763,0.85
"Niebo I Piekło",8.5,6.38,"Crime",7.70878074390727,8.37,2360,29373,"Akira Kurosawa","Toshirô Mifune","Yutaka Sada","Tatsuya Nakadai","Kyôko Kagawa",0.638,0.85
"Psychoza",8.5,7.95,"Horror",7.29423623112909,8.48,130001,577524,"Alfred Hitchcock","Anthony Perkins","Janet Leigh","Vera Miles","John Gavin",0.795,0.85
"Casablanca",8.5,7.71,"Drama",7.45410388358276,7.87,88585,504072,"Michael Curtiz","Humphrey Bogart","Ingrid Bergman","Paul Henreid","Claude Rains",0.771,0.85
"Dzisiejsze Czasy",8.5,7.08,"Comedy",7.46929328120257,7.96,10622,207723,"Charles Chaplin","Charles Chaplin","Paulette Goddard","Henry Bergman","Tiny Sandford",0.708,0.85
"Światła Wielkiego Miasta",8.5,7.14,"Comedy",7.95784777612546,7.96,11981,159884,"Charles Chaplin","Charles Chaplin","Virginia Cherrill","Florence Lee","Harry Myers",0.714,0.85
"Kafarnaum",8.4,7.59,"Drama",7.48619102416571,6.83,22307,48399,"Nadine Labaki","Zain Al Rafeea","Yordanos Shiferaw","Boluwatife Treasure Bankole","Kawsar Al Haddad",0.759,0.84
"Spider-Man Uniwersum",8.4,7.8,"Animation",7.3807392498164,7.95,60548,320786,"Bob Persichetti","Shameik Moore","Jake Johnson","Hailee Steinfeld","Mahershala Ali",0.78,0.84
"Avengers: Koniec Gry",8.4,7.96,"Action",8.29142365824709,8.23,135457,725510,"Anthony Russo","Robert Downey Jr.","Chris Evans","Mark Ruffalo","Chris Hemsworth",0.796,0.84
"Coco",8.4,8.13,"Animation",7.01181802005497,8.15,122151,341152,"Lee Unkrich","Anthony Gonzalez","Gael García Bernal","Benjamin Bratt","Alanna Ubach",0.813,0.84
